wkt_geom,id,node_id,xmin,ymin,xmax,ymax
"Polygon ((139.526091625 35.644046625, 139.5536989375 35.644046625, 139.5536989375 35.621736187500005, 139.526091625 35.621736187500005, 139.526091625 35.644046625))",112,123,139.5260916,35.62173619,139.5536989,35.64404663
"Polygon ((139.5536989375 35.644046625, 139.58130625 35.644046625, 139.58130625 35.621736187500005, 139.5536989375 35.621736187500005, 139.5536989375 35.644046625))",113,124,139.5536989,35.62173619,139.5813063,35.64404663
"Polygon ((139.470877 35.6663570625, 139.4984843125 35.6663570625, 139.4984843125 35.644046625, 139.470877 35.644046625, 139.470877 35.6663570625))",114,125,139.470877,35.64404663,139.4984843,35.66635706
"Polygon ((139.4984843125 35.6663570625, 139.526091625 35.6663570625, 139.526091625 35.644046625, 139.4984843125 35.644046625, 139.4984843125 35.6663570625))",115,126,139.4984843,35.64404663,139.5260916,35.66635706
"Polygon ((139.470877 35.6886675, 139.4984843125 35.6886675, 139.4984843125 35.6663570625, 139.470877 35.6663570625, 139.470877 35.6886675))",116,127,139.470877,35.66635706,139.4984843,35.6886675
"Polygon ((139.4984843125 35.6886675, 139.526091625 35.6886675, 139.526091625 35.6663570625, 139.4984843125 35.6663570625, 139.4984843125 35.6886675))",117,128,139.4984843,35.66635706,139.5260916,35.6886675
"Polygon ((139.526091625 35.6663570625, 139.5536989375 35.6663570625, 139.5536989375 35.644046625, 139.526091625 35.644046625, 139.526091625 35.6663570625))",118,129,139.5260916,35.64404663,139.5536989,35.66635706
"Polygon ((139.5536989375 35.6663570625, 139.58130625 35.6663570625, 139.58130625 35.644046625, 139.5536989375 35.644046625, 139.5536989375 35.6663570625))",119,130,139.5536989,35.64404663,139.5813063,35.66635706
"Polygon ((139.526091625 35.6886675, 139.5536989375 35.6886675, 139.5536989375 35.6663570625, 139.526091625 35.6663570625, 139.526091625 35.6886675))",120,131,139.5260916,35.66635706,139.5536989,35.6886675
"Polygon ((139.5536989375 35.6886675, 139.58130625 35.6886675, 139.58130625 35.6663570625, 139.5536989375 35.6663570625, 139.5536989375 35.6886675))",121,132,139.5536989,35.66635706,139.5813063,35.6886675
"Polygon ((139.58130625 35.621736187500005, 139.6089135625 35.621736187500005, 139.6089135625 35.59942575, 139.58130625 35.59942575, 139.58130625 35.621736187500005))",122,133,139.5813063,35.59942575,139.6089136,35.62173619
"Polygon ((139.6089135625 35.621736187500005, 139.636520875 35.621736187500005, 139.636520875 35.59942575, 139.6089135625 35.59942575, 139.6089135625 35.621736187500005))",123,134,139.6089136,35.59942575,139.6365209,35.62173619
"Polygon ((139.58130625 35.644046625, 139.6089135625 35.644046625, 139.6089135625 35.621736187500005, 139.58130625 35.621736187500005, 139.58130625 35.644046625))",124,135,139.5813063,35.62173619,139.6089136,35.64404663
"Polygon ((139.6089135625 35.644046625, 139.636520875 35.644046625, 139.636520875 35.621736187500005, 139.6089135625 35.621736187500005, 139.6089135625 35.644046625))",125,136,139.6089136,35.62173619,139.6365209,35.64404663
"Polygon ((139.636520875 35.621736187500005, 139.6641281875 35.621736187500005, 139.6641281875 35.59942575, 139.636520875 35.59942575, 139.636520875 35.621736187500005))",126,137,139.6365209,35.59942575,139.6641282,35.62173619
"Polygon ((139.6641281875 35.621736187500005, 139.6917355 35.621736187500005, 139.6917355 35.59942575, 139.6641281875 35.59942575, 139.6641281875 35.621736187500005))",127,138,139.6641282,35.59942575,139.6917355,35.62173619
"Polygon ((139.636520875 35.644046625, 139.6641281875 35.644046625, 139.6641281875 35.621736187500005, 139.636520875 35.621736187500005, 139.636520875 35.644046625))",128,139,139.6365209,35.62173619,139.6641282,35.64404663
"Polygon ((139.6641281875 35.644046625, 139.6917355 35.644046625, 139.6917355 35.621736187500005, 139.6641281875 35.621736187500005, 139.6641281875 35.644046625))",129,140,139.6641282,35.62173619,139.6917355,35.64404663
"Polygon ((139.58130625 35.6663570625, 139.6089135625 35.6663570625, 139.6089135625 35.644046625, 139.58130625 35.644046625, 139.58130625 35.6663570625))",130,141,139.5813063,35.64404663,139.6089136,35.66635706
"Polygon ((139.6089135625 35.6663570625, 139.636520875 35.6663570625, 139.636520875 35.644046625, 139.6089135625 35.644046625, 139.6089135625 35.6663570625))",131,142,139.6089136,35.64404663,139.6365209,35.66635706
"Polygon ((139.58130625 35.6886675, 139.6089135625 35.6886675, 139.6089135625 35.6663570625, 139.58130625 35.6663570625, 139.58130625 35.6886675))",132,143,139.5813063,35.66635706,139.6089136,35.6886675
"Polygon ((139.6089135625 35.6886675, 139.636520875 35.6886675, 139.636520875 35.6663570625, 139.6089135625 35.6663570625, 139.6089135625 35.6886675))",133,144,139.6089136,35.66635706,139.6365209,35.6886675
"Polygon ((139.636520875 35.6663570625, 139.6641281875 35.6663570625, 139.6641281875 35.644046625, 139.636520875 35.644046625, 139.636520875 35.6663570625))",134,145,139.6365209,35.64404663,139.6641282,35.66635706
"Polygon ((139.6641281875 35.6663570625, 139.6917355 35.6663570625, 139.6917355 35.644046625, 139.6641281875 35.644046625, 139.6641281875 35.6663570625))",135,146,139.6641282,35.64404663,139.6917355,35.66635706
"Polygon ((139.636520875 35.6886675, 139.6641281875 35.6886675, 139.6641281875 35.6663570625, 139.636520875 35.6663570625, 139.636520875 35.6886675))",136,147,139.6365209,35.66635706,139.6641282,35.6886675
"Polygon ((139.6641281875 35.6886675, 139.6917355 35.6886675, 139.6917355 35.6663570625, 139.6641281875 35.6663570625, 139.6641281875 35.6886675))",137,148,139.6641282,35.66635706,139.6917355,35.6886675
"Polygon ((139.6917355 35.532494437500006, 139.7193428125 35.532494437500006, 139.7193428125 35.510184, 139.6917355 35.510184, 139.6917355 35.532494437500006))",138,149,139.6917355,35.510184,139.7193428,35.53249444
